Tld,Currency,Register,Transfer,Renew,Restore,Trustee,Backorder
com,USD,11.31,10.61,11.51,99.9,-,-
club,USD,19.49,19.49,19.49,129.9,-,-
market,USD,38.99,40.01,40.01,144.9,-,-
shop,USD,1.99,40.01,40.01,179.9,-,-
bid,USD,29.99,29.99,29.99,134.9,-,-
porn,USD,106.25,106.27,106.27,331.5,-,-
cloud,USD,27.9,27.92,27.92,99.9,-,-
io,USD,44.99,64.9,64.9,169.9,-,-
biz,USD,23.39,23.39,23.39,109.9,-,-
science,USD,29.99,29.99,29.99,94.9,-,-
uk,USD,9.57,-,9.57,19.7,-,-
org,USD,8.49,13.99,13.99,89.9,-,-
bio,USD,6.99,71.77,71.77,184.9,-,-
tv,USD,31.25,31.25,31.25,129.9,-,-
design,USD,58.49,58.49,58.49,159.9,-,-
us,USD,11.99,11.99,11.99,134.9,-,-
party,USD,29.99,29.99,29.99,134.9,-,-
trade,USD,29.99,30.01,30.01,134.9,-,-
de,USD,8.99,8.99,8.99,58.97,9,-
ac,USD,39.99,56.25,56.25,169.9,-,-
cooking,USD,32.49,32.49,32.49,134.9,-,-
mobi,USD,5.51,49.9,49.9,124.9,-,-
wiki,USD,32.49,32.49,32.49,119.9,-,-
download,USD,29.99,29.99,29.99,119.9,-,-
sh,USD,39.99,56.25,56.25,169.9,-,-
com.co,USD,19.49,19.49,19.49,160,-,-
beer,USD,32.49,32.49,32.49,134.9,-,-
adult,USD,106.25,106.25,106.25,331.5,-,-
info,USD,4.49,27.99,27.99,114.9,-,-
in,USD,6.99,6.99,6.99,64.9,-,-
net.co,USD,19.49,19.25,19.25,160,-,-
sex,USD,106.25,106.25,106.25,331.5,-,-
pro,USD,3.99,27.9,27.9,114.9,-,-
xyz,USD,1.99,14.99,14.99,119.9,-,-
xxx,USD,99.99,99.99,99.99,292.5,-,-
co,USD,19.49,38.99,38.99,160,-,-
net,USD,13.99,14.01,14.01,104.9,-,-
com.tr,TRY,89.9,-,99.9,-,-,-
aero,USD,44.99,49.92,49.92,139.9,-,-
tc,USD,43.99,129.99,43.99,149.9,-,-
cc,USD,13.1,13.1,13.1,59.9,-,-
name,USD,10.96,10.96,10.96,153,-,-
blog,USD,4.99,26.02,26.02,119.9,-,-
app,USD,23.99,23.99,23.99,240,-,-
dev,USD,20.43,20.43,20.43,240,-,-
how,USD,35.06,33.26,35.06,240,-,-
soy,USD,31.28,29.97,31.28,240,-,-
ist,USD,17.99,17.99,17.99,104.9,-,-
ge,USD,29,29,29,13.39,-,-
li,USD,28.99,-,29,64.68,-,-
com.lc,USD,19.8,19.8,19.8,174.9,-,-
lt,USD,15.84,-,15.84,90.22,-,-
lv,USD,48.99,49,49,76.66,-,-
tw,USD,34.45,30.6,34.45,66.95,-,-
com.tw,USD,37.13,37.08,37.13,67.6,-,-
co.uk,USD,11.08,-,11.08,64.9,-,-
me.uk,USD,11.08,11.08,11.08,64.9,-,-
org.uk,USD,12.15,-,12.15,64.9,-,-
vc,USD,33.2,33.2,33.2,199.9,-,-
com.vc,USD,33.2,33.2,33.2,199.9,-,-
com.ve,USD,103.13,93.75,103.13,110.5,-,-
co.ve,USD,103.13,93.75,103.13,110.5,-,-
vg,USD,35,35,35,139.9,-,-
wf,USD,14.05,14.05,14.05,52.83,-,-
ws,USD,36.54,36.54,36.54,153,-,-
yt,USD,14.05,14.05,14.05,52.83,15,-
co.za,USD,9.99,-,10.06,67.15,-,-
net.tr,TRY,89.9,-,99.9,-,-,-
org.tr,TRY,89.9,-,99.9,-,-,-
cn,USD,22.99,22.99,22.99,192,59,-
gen.tr,TRY,89.9,-,99.9,-,-,-
biz.tr,TRY,89.9,-,99.9,-,-,-
com.ar,USD,84.9,84.9,84.9,299.9,-,-
tel,USD,15.68,14.63,15.68,136,-,-
com.hn,USD,103.13,-,103.13,214.5,-,-
im,USD,19.15,-,19.15,-,-,-
com.im,USD,18.95,-,18.95,38.25,-,-
je,USD,111.69,111.69,111.69,179.14,-,-
jp,USD,37.5,-,37.5,192,29,-
com.lv,USD,49.25,-,49.25,76.66,-,-
nz,USD,25.98,-,25.98,49.96,-,-
ro,USD,15.87,-,15.87,102,-,-
bel.tr,TRY,89.9,-,99.9,-,-,-
dr.tr,TRY,89.9,-,99.9,-,-,-
info.tr,TRY,89.9,-,99.9,-,-,-
web.tr,TRY,89.9,-,99.9,-,-,-
name.tr,TRY,89.9,-,99.9,-,-,-
tv.tr,TRY,89.9,-,99.9,-,-,-
bbs.tr,TRY,89.9,-,99.9,-,-,-
k12.tr,TRY,89.9,-,99.9,-,-,-
com.tc,USD,8.99,129.99,8.99,49.9,-,-
net.tc,USD,8.99,129.99,8.99,84.9,-,-
